,Unnamed: 0,STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
285,285,Andhra Pradesh,Guntur,Kommineni Cold Storage,ANKIRRDDY PAKEN,Srinivasarao,8086.0,,
286,286,Andhra Pradesh,Guntur,"Kommineni Rajendra Prasad, Sy.No.47/1, Near Door No. 2-85, Yarlagaddavari Street, Kankatapalem Panchayat, Bapatla Mandal, Guntur Dist.","Kommineni Rajendra Prasad, Sy.No.47/1, Near Door No. 2-85, Yarlagaddavari Street, Kankatapalem Panchayat, Bapatla Mandal, Guntur Dist.",,170.0,80.0087746,16.3905692
287,287,Andhra Pradesh,Guntur,Kondaveedu Cold Storage,MIRCH YARDNALLAPADU ROAD,Rambabu,4000.0,80.3939109,16.3063385
288,288,Andhra Pradesh,Guntur,Kondaveeducildstorage,DNO133 MIRCHI YARD,Verayya,4000.0,,
289,289,Andhra Pradesh,Guntur,"Kumari Alapati Lakshmi Sowjanya, D/O Purnachandra Rao","Davuluru Village, Kollipara Mandal,",,219.834,,
290,290,Andhra Pradesh,Guntur,KurriAnnapurnammaGovindaReddy Cold Storage,ANKIREDDY PALEM NH-5,K Sambireddy,7000.0,83.9275643,18.3159269
291,291,Andhra Pradesh,Guntur,Kurriannapurna Cold Storage,NEAR MIRCHI YARD,Sambireddy,7000.0,,
292,292,Andhra Pradesh,Guntur,Kurriannapurnammagovindareddy Cold Storage Pvt Ltd,NH5 DN O5-45 ANKIREDDY PALEM,Sambireddy,5625.0,83.9275643,18.3159269
293,293,Andhra Pradesh,Guntur,Kusamanafh Cold Storage,NH 5 MARCHI YARD,Sambaivarao,0.0,77.1031998,31.0306204
294,294,Andhra Pradesh,Guntur,Lakshmi Annapurna Godown(Sri Talluri Lakshmi Venkata Satyanarayana),"D.No.1210/1, Vemuru V & M., Guntur Dt",,783.0,80.4365402,16.3066525
295,295,Andhra Pradesh,Guntur,Lakshmi Balaji Cold Storage,ANKIREDDYPALEM,Balaji,0.0,80.3923079,16.2876751
296,296,Andhra Pradesh,Guntur,Lakshmi Prasanna Cold Storage,Ankireddypalem,,8811.69,80.3923079,16.2876751
297,297,Andhra Pradesh,Guntur,Lakshminarasimha Cold Storage,ANKIREDDY PALEM VILLAGE,Satyanarayana,5438.0,80.3923079,16.2876751
298,298,Andhra Pradesh,Guntur,Lakshmiprasanna Cold Storage,"LALPURAM, NH-5",Anasuya,5000.0,77.1031998,31.0306204
299,299,Andhra Pradesh,Guntur,Laxmi Vidhya Cold Storage,LALAPURAM,Bhanu,4000.0,80.3282738,17.2181353
300,300,Andhra Pradesh,Guntur,Laxmi lavanya Cold Storage,APPADALA COMPANY ROAD LALPURAN DONKA,Satyanarayana,4500.0,,
301,301,Andhra Pradesh,Guntur,Laxminarasimha Cold Storage,"D NO 658/A 659B, 660/A ANKIREDDY PALEM VILLAGE",Venkatapathiraju,5400.0,80.3923079,16.2876751
302,302,Andhra Pradesh,Guntur,Laxmivallabha Cold Storage,NH5 LALAPURAM BY PASS ROAD,B Hanumantharao,9763.0,82.0031455,16.5774798
303,303,Andhra Pradesh,Guntur,M.Madanamohana Raju,"Karlapalem Vilage, Bapatla",,4769.62,80.4671375,15.9039445
304,304,Andhra Pradesh,Guntur,M/S Amulya Cold Storage (Formerly Lakshmi Balaji Cold Storage Pvt. Ltd.,Lalpuram,,4099.0,80.4494344,16.2868497
305,305,Andhra Pradesh,Guntur,M/S Boppudi Cold Storage (P) Ltd. (Promoter- Shri. R V Subba Rao),Ethukuru,,5800.0,,
306,306,Andhra Pradesh,Guntur,"M/S Brahamari Cold Storage (P) Ltd. ( Promoters- S/Shri. V P Rao, Ravi Vadlamani And Others)",Ankireddypalli,,7943.0,79.0072883,15.3960875
307,307,Andhra Pradesh,Guntur,"M/S Gurpreet Kaur, Mrs. Saroj, Harmeet Kaur, & Jaswinder Kaur","Tarn Taran,Pandori Gola",,9441.0,74.9574091,31.4555831
308,308,Andhra Pradesh,Guntur,M/S Himabindu Cold Storage Pvt. Ltd.,Nallapadu,,8480.0,80.3867417,16.2990649
309,309,Andhra Pradesh,Guntur,M/S K A G Reddy Cold Storage Pvt. Ltd.,Ankireddypalem,,10060.0,80.3923079,16.2876751
310,310,Andhra Pradesh,Guntur,M/S Kancheti Nageswara Rao & K.Venkata Rao,"Sy.No.183,Rupenguntla Village, Nekarikallu Mandal, Gunur Dt",,203.0,80.4365402,16.3066525
311,311,Andhra Pradesh,Guntur,M/S Kodali Rajyalaxmi Rural Godowns,"D.No.256/2, Vatticheruku V & M, Guntur",,182.0,80.4365402,16.3066525
312,312,Andhra Pradesh,Guntur,M/S Kommineni Cold Storage,Ankireddypalem,,8086.0,80.3923079,16.2876751
313,313,Andhra Pradesh,Guntur,M/S Lakhsmi Malleswari Cold Storage Pvt. Ltd.,Ankireddypalem,,8464.0,80.3923079,16.2876751
314,314,Andhra Pradesh,Guntur,M/S Lakshmi Narashima Cold Storage (P) Ltd. (Promoters-Shri. V S Reddy And Smt. V Atachamma),Ankireddypalli,,5438.0,79.0072883,15.3960875
315,315,Andhra Pradesh,Guntur,M/S Laxmi Durga Rice Mill,"Chinaparimi Village, Tsunduru Mandal, Guntur District",,251.0,80.0087746,16.3905692
316,316,Andhra Pradesh,Guntur,M/S Manjunath Cold Storage Pvt. Ltd.,Lalpuram,,10487.0,80.4494344,16.2868497
317,317,Andhra Pradesh,Guntur,M/S Narayanadri Cold Storage Pvt. Ltd.,Ankireddypalem,,10172.9,80.3923079,16.2876751
318,318,Andhra Pradesh,Guntur,M/S Om Siva Gayathri Deep Cold Storage Pvt. Ltd.,Ankireddy Palem,,7200.0,80.3923079,16.2876751
319,319,Andhra Pradesh,Guntur,M/S P.Padma Rural Godowns,"Mulpuru Village, Amarthalur Mandal",,186.12,80.6590424,16.1169266
320,320,Andhra Pradesh,Guntur,M/S Ponnam Vidyasri Rural Godown,"Duggirala Village, Dugirala Mandal, Guntur Dt",,346.0,80.4365402,16.3066525
321,321,Andhra Pradesh,Guntur,M/S Ramanjaneya Cold Storage Pvt. Ltd.,Ankireddy Palem,,8650.0,80.3923079,16.2876751
322,322,Andhra Pradesh,Guntur,M/S Sai Teja Godowns(Smt Maddineni Anjali Devi),"Sy No 69/A3, Door No 4-5-26/7A,Kavuru Village, Chilakaluripet",,8238.0,80.1656205,16.0948008
323,323,Andhra Pradesh,Guntur,M/S Sindhuri Cold Storage Pvt. Ltd.,Ankireddypalem,,8985.0,80.3923079,16.2876751
